,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
0,0,Blinding Lights,0.548,0.894,0.0376,0.0565,170.912,"['canadian contemporary country', 'canadian country']"
1,1,Believer,0.487,0.838,0.255,0.058,93.701,"['modern rock', 'pop', 'rock']"
2,2,I Took A Pill In Ibiza - Seeb Remix,0.664,0.714,0.111,0.0353,101.969,"['dance pop', 'pop', 'pop dance', 'pop rap']"
3,3,Safe And Sound,0.471,0.3,0.028,0.883,144.319,['pop']
4,4,Yeah! (feat. Lil Jon & Ludacris),0.894,0.791,0.112,0.0183,105.018,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
5,5,Here Comes The Sun - Remastered 2009,0.619,0.234,0.0351,0.956,123.737,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
6,6,Flowers,0.838,0.364,0.134,0.0849,79.987,"['chillhop', 'lo-fi beats', 'lo-fi house']"
7,7,Grenade,0.704,0.558,0.0542,0.148,110.444,"['dance pop', 'pop']"
8,8,Need to Know,0.664,0.609,0.0707,0.304,130.041,"['dance pop', 'pop']"
9,9,Dandelions,0.33,0.709,0.0312,0.0411,101.673,['stomp and holler']
10,10,Shape of You,0.53,0.92,0.0734,0.0255,191.977,['post-screamo']
11,11,Mr. Brightside,0.352,0.911,0.0747,0.00121,148.033,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
12,12,Sex on Fire,0.265,0.709,0.118,0.0641,93.626,"['modern rock', 'rock']"
13,13,Smells Like Teen Spirit,0.608,0.511,0.0383,0.0299,113.898,[]
14,14,Whistle,0.747,0.937,0.0453,0.0208,103.976,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
15,15,Viva La Vida,0.8,0.35,0.0573,0.922,130.09,[]
16,16,Everybody Wants To Rule The World,0.614,0.0735,0.0324,0.779,99.979,['lo-fi cover']
17,17,Enter Sandman,0.566,0.834,0.0298,0.00277,123.296,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
18,18,Thunderstruck,0.502,0.89,0.0364,0.000147,133.52,"['australian rock', 'hard rock', 'rock']"
19,19,Insane,0.412,0.449,0.0341,0.453,91.533,[]
20,20,Boomerang,0.828,0.794,0.0436,0.00942,115.013,['movie tunes']
21,21,India,0.74,0.666,0.0518,0.122,74.963,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
22,22,Livin' On A Prayer,0.662,0.161,0.046,0.986,99.953,"['glam metal', 'rock']"
23,23,Don't Stop Believin',0.505,0.754,0.0366,0.132,119.204,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
24,24,Wonderwall,0.7,0.705,0.0414,0.148,99.97,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
25,25,Hey Ya!,0.727,0.974,0.0664,0.103,79.526,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
26,26,I Gotta Feeling,0.744,0.766,0.0265,0.0873,127.966,"['dance pop', 'pop', 'pop rap']"
27,27,Iris,0.556,0.062,0.0666,0.996,108.929,['classify']
28,28,Capy´s Journey to the Olympus - Dance,0.745,0.186,0.0389,0.882,144.007,[]
29,29,Highway to Hell,0.574,0.913,0.133,0.061,115.728,"['australian rock', 'hard rock', 'rock']"
30,30,Under the Bridge,0.559,0.345,0.0459,0.0576,84.581,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
31,31,We Found Love,0.735,0.766,0.0384,0.025,127.975,"['barbadian pop', 'pop', 'urban contemporary']"
32,32,Sweet Home Alabama,0.596,0.606,0.0255,0.181,97.785,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']"
33,33,Eye of the Tiger,0.815,0.438,0.0346,0.216,108.966,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
34,34,Summer,0.6,0.572,0.0272,0.0173,90.029,[]
35,35,Story of My Life,0.6,0.663,0.0477,0.225,121.07,"['boy band', 'pop', 'post-teen pop', 'talent show']"
36,36,Californication,0.592,0.767,0.027,0.0021,96.483,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
37,37,Take on Me,0.576,0.94,0.118,0.0192,97.876,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
38,38,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.722,0.758,0.0471,0.0111,128.047,['pop']
39,39,Losing My Religion,0.666,0.855,0.0295,0.179,125.639,"['alternative rock', 'athens indie', 'permanent wave', 'rock']"
40,40,Don't Stop Me Now - Remastered 2011,0.563,0.865,0.16,0.0472,156.271,"['classic rock', 'glam rock', 'rock']"
41,41,Every Breath You Take,0.78,0.573,0.038,0.249,119.973,['tropical house']
42,42,Creep,0.905,0.436,0.0521,0.733,95.056,['lo-fi cover']
43,43,Wake Me Up,0.459,0.0194,0.0422,0.991,68.06,[]
44,44,A Sky Full of Stars,0.545,0.675,0.0279,0.00617,124.97,"['permanent wave', 'pop']"
45,45,Billie Jean,0.929,0.449,0.0698,0.0182,117.118,"['r&b', 'soul']"
46,46,Party In The U.S.A.,0.652,0.698,0.042,0.00112,96.021,"[""children's music""]"
47,47,NEO EDEN,0.514,0.392,0.0312,0.887,104.513,['indie poptimism']
48,48,As It Was,0.727,0.132,0.0451,0.993,121.996,[]
49,49,Back In Black,0.759,0.538,0.384,0.151,146.933,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']"
50,50,Under Pressure - Remastered 2011,0.671,0.711,0.0478,0.422,113.809,"['classic rock', 'glam rock', 'rock']"
51,51,"Hey, Soul Sister",0.673,0.886,0.0431,0.185,97.012,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
52,52,Shut Up and Dance,0.578,0.866,0.0619,0.00701,128.038,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']"
53,53,Have You Ever Seen The Rain,0.741,0.697,0.0277,0.0664,116.109,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']"
54,54,Pumped Up Kicks,0.733,0.71,0.0292,0.145,127.975,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']"
55,55,In the End,0.618,0.611,0.11,0.477,88.07,['anthem worship']
56,56,Can't Hold Us (feat. Ray Dalton),0.633,0.927,0.0839,0.0267,146.097,[]
57,57,Waiting For Love,0.579,0.736,0.0527,0.31,127.999,"['dance pop', 'edm', 'pop', 'pop dance']"
58,58,Yellow,0.429,0.661,0.0281,0.00239,173.372,"['permanent wave', 'pop']"
59,59,Unholy (feat. Kim Petras),0.719,0.454,0.0707,0.0138,131.007,"['pop', 'uk pop']"
60,60,Bohemian Rhapsody - Remastered 2011,0.397,0.386,0.0503,0.271,144.242,[]
61,61,Hotel California - 2013 Remaster,0.579,0.508,0.027,0.00574,147.125,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
62,62,Somebody That I Used to Know,0.864,0.495,0.037,0.591,129.062,['australian pop']
63,63,Pompeii,0.679,0.715,0.0407,0.0755,127.435,"['metropopolis', 'modern rock', 'pop']"
64,64,Down 2,0.62,0.776,0.0365,0.36,93.964,"['contemporary country', 'country', 'country road', 'modern country rock']"
65,65,Sugar (feat. Francesco Yates),0.776,0.118,0.0569,0.896,119.944,['canadian pop']
66,66,Another One Bites The Dust - Remastered 2011,0.932,0.528,0.161,0.115,109.975,"['classic rock', 'glam rock', 'rock']"
67,67,Numb,0.357,0.882,0.0673,0.739,105.301,['british blues']
68,68,Timber,0.598,0.554,0.0273,0.123,124.918,"['dance pop', 'miami hip hop', 'pop']"
69,69,Call Me Maybe,0.782,0.58,0.0407,0.0114,120.021,"['canadian pop', 'dance pop', 'pop']"
70,70,Running on Empty,0.541,0.711,0.0383,0.0635,136.58,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'singer-songwriter', 'soft rock']"
71,71,Sweet Dreams (Are Made of This) - Remastered,0.519,0.512,0.0279,0.28,110.156,[]
72,72,Counting Stars,0.56,0.737,0.0389,0.00502,122.021,"['piano rock', 'pop']"
73,73,New Beginnings,0.187,0.0178,0.0385,0.953,67.406,['calming instrumental']
74,74,Africa,0.798,0.423,0.103,0.155,124.976,[]
75,75,We Will Rock You - Remastered 2011,0.146,0.924,0.0855,0.016,173.411,[]
76,76,Time of Our Lives,0.721,0.802,0.0583,0.0921,124.022,"['dance pop', 'miami hip hop', 'pop']"
77,77,Lose Yourself,0.692,0.744,0.257,0.00868,171.374,"['detroit hip hop', 'hip hop', 'rap']"
78,78,Locked out of Heaven,0.726,0.698,0.0431,0.049,143.994,"['dance pop', 'pop']"
79,79,Do I Wanna Know?,0.548,0.532,0.0323,0.186,85.03,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
80,80,Valencia,0.779,0.815,0.0553,0.438,90.524,[]
81,81,"Shakira: Bzrp Music Sessions, Vol. 53",0.842,0.745,0.0399,0.281,122.06,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
82,82,Titanium (feat. Sia),0.604,0.788,0.103,0.0678,126.06,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
83,83,Cold Heart - PNAU Remix,0.796,0.798,0.0317,0.034,116.032,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
84,84,PABLO - Sped Up,0.706,0.384,0.176,0.0137,95.004,[]
85,85,The Real Slim Shady,0.949,0.661,0.0572,0.0302,104.504,"['detroit hip hop', 'hip hop', 'rap']"
86,86,Set Fire to the Rain,0.716,0.777,0.0284,0.0291,126.991,"['gymcore', 'heavy alternative']"
87,87,No Role Modelz,0.657,0.33,0.0299,0.698,79.962,"['slowed and reverb', 'sped up']"
88,88,I Failed You,0.31,0.721,0.268,0.0387,169.976,"['cloud rap', 'sigilkore']"
89,89,Chop Suey!,0.417,0.934,0.119,0.000278,127.066,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
90,90,Ni**as In Paris,0.789,0.858,0.311,0.127,140.022,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
91,91,Sweater Weather,0.612,0.807,0.0336,0.0495,124.053,"['modern alternative rock', 'modern rock', 'pop']"
92,92,All Girls Are The Same,0.671,0.529,0.307,0.0769,161.989,"['chicago rap', 'melodic rap', 'rap']"
93,93,Mockingbird,0.794,0.31,0.106,0.832,185.324,[]
94,94,Why'd You Only Call Me When You're High?,0.358,0.0668,0.0381,0.951,146.005,[]
95,95,Cape Cabo,0.72,0.725,0.277,0.34,180.063,[]
96,96,Feel Good Inc.,0.768,0.374,0.174,0.551,130.017,['lo-fi cover']
97,97,Workout,0.776,0.608,0.0569,0.0109,149.991,[]
98,98,Payphone,0.739,0.756,0.0394,0.0136,110.028,['pop']
99,99,Not Like Us,0.898,0.472,0.0776,0.0107,101.061,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
100,100,MILLION DOLLAR BABY,0.849,0.699,0.0436,0.0982,138.003,['chill abstract hip hop']
101,101,euphoria,0.823,0.337,0.738,0.645,145.922,[]
102,102,Like That,0.856,0.339,0.173,0.0516,136.159,"['dream plugg', 'plugg', 'pluggnb']"
103,103,Family Matters,0.603,0.483,0.216,0.00384,133.983,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
104,104,Fortnight (feat. Post Malone),0.504,0.386,0.0308,0.502,192.004,"['chicago rap', 'rap']"
105,105,System,0.531,0.621,0.426,0.602,112.352,[]
106,106,A Bar Song (Tipsy),0.722,0.709,0.0273,0.0633,81.012,['pop rap']
107,107,meet the grahams,0.565,0.922,0.117,0.000244,130.033,[]
108,108,Para Dey!,0.421,0.238,0.0427,0.771,148.001,"['latin pop', 'puerto rican pop']"
109,109,Espresso,0.701,0.76,0.0285,0.107,103.969,['pop']
110,110,Fly Guys,0.779,0.408,0.333,0.0295,95.087,[]
111,111,Down Bad,0.541,0.366,0.0748,0.56,159.707,['pop']
112,112,Beautiful Things,0.472,0.471,0.0603,0.151,105.029,['singer-songwriter pop']
113,113,Ginger,0.605,0.919,0.349,0.136,129.961,"['antiviral pop', 'comic', 'parody']"
114,114,Too Sweet,0.803,0.597,0.141,0.000619,136.008,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
115,115,I Can Do It With a Broken Heart,0.701,0.751,0.0502,0.123,129.994,['pop']
116,116,Gata Only,0.791,0.499,0.0509,0.446,99.986,['reggaeton chileno']
117,117,Type Shit,0.64,0.552,0.129,0.0215,144.941,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
118,118,Pop Girl,0.834,0.571,0.0615,0.64,109.937,"[""children's music"", 'nursery']"
119,119,But Daddy I Love Him,0.521,0.72,0.104,0.384,79.943,['pop']
120,120,Magnetic,0.442,0.593,0.0345,0.793,92.124,"['alternative rock', 'chamber pop', 'lo-fi', 'melancholia', 'metropopolis', 'permanent wave', 'tape club']"
121,121,Push Ups,0.598,0.696,0.112,0.0153,91.057,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
122,122,Lose Control,0.596,0.711,0.0379,0.162,159.812,"[""children's music""]"
123,123,"So Long, London",0.423,0.533,0.322,0.73,160.218,['pop']
124,124,Who’s Afraid of Little Old Me?,0.606,0.338,0.048,0.315,119.88,['pop']
125,125,Guilty as Sin?,0.626,0.428,0.0261,0.607,94.95,['pop']
126,126,The Tortured Poets Department,0.601,0.44,0.0256,0.0442,110.315,['pop']
127,127,My Boy Only Breaks His Favorite Toys,0.796,0.451,0.0317,0.219,120.079,[]
128,128,we can't be friends (wait for your love),0.645,0.646,0.0427,0.0615,115.842,['pop']
129,129,Florida!!! (feat. Florence + The Machine),0.533,0.573,0.138,0.178,150.088,['pop']
130,130,The Smallest Man Who Ever Lived,0.426,0.41,0.0581,0.52,142.377,['pop']
131,131,i like the way you kiss me,0.599,0.946,0.0447,0.000938,151.647,[]
132,132,Bling-Bang-Bang-Born,0.853,0.822,0.246,0.0841,157.013,['j-pop']
133,133,Get It Sexyy,0.811,0.64,0.274,0.0957,145.031,['trap queen']
134,134,Saturn,0.131,0.205,0.0387,0.624,146.089,"['ambient worship', 'chamber pop']"
135,135,Snooze,0.559,0.551,0.132,0.141,143.008,"['pop', 'r&b', 'rap']"
136,136,Fresh Out The Slammer,0.808,0.513,0.678,0.12,106.739,['pop']
137,137,loml,0.83,0.752,0.266,0.0361,124.948,[]
138,138,Cruel Summer,0.666,0.871,0.0272,0.27,108.501,['pop']
139,139,Last Night,0.489,0.624,0.0278,0.326,90.009,['american metalcore']
140,140,The Alchemy,0.49,0.47,0.21,0.588,78.831,"['alternative hip hop', 'boom bap', 'drumless hip hop']"
141,141,Stick Season,0.664,0.5,0.0651,0.799,117.896,['pov: indie']
142,142,幾億光年,0.444,0.684,0.027,0.00448,96.225,"['city pop', 'japanese soul']"
143,143,CARNIVAL,0.594,0.811,0.159,0.189,148.144,[]
144,144,I Can Fix Him (No Really I Can),0.661,0.257,0.045,0.768,106.896,['pop']
145,145,Wanna Be (with Megan Thee Stallion),0.919,0.629,0.376,0.0226,135.05,['southern hip hop']
146,146,ライラック,0.511,0.924,0.0584,0.00269,135.027,[]
147,147,Whatever She Wants,0.803,0.512,0.066,0.128,96.02,"['kentucky hip hop', 'r&b', 'rap']"
148,148,Training Season,0.812,0.587,0.0477,0.0349,123.041,"['dance pop', 'pop', 'uk pop']"
149,149,Freestyle,0.887,0.52,0.296,0.00158,91.933,[]
150,150,I Remember Everything (feat. Kacey Musgraves),0.429,0.453,0.0459,0.554,77.639,['classic oklahoma country']
151,151,Cowgirls (feat. ERNEST),0.621,0.779,0.0361,0.216,172.037,['contemporary country']
152,152,imgonnagetyouback,0.653,0.231,0.0367,0.859,84.903,[]
153,153,Clara Bow,0.686,0.318,0.0263,0.636,104.088,['pop']
154,154,Yeah Glo!,0.894,0.66,0.33,0.0243,148.072,['southern hip hop']
155,155,greedy,0.749,0.729,0.0321,0.261,111.004,['pop']
156,156,The Black Dog,0.527,0.27,0.038,0.707,154.042,['pop']
157,157,Best I Ever Had,0.395,0.922,0.375,0.19,162.361,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
158,158,HUMBLE.,0.908,0.621,0.102,0.000282,150.011,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
159,159,So High School,0.366,0.866,0.0466,0.0274,176.07,['pop']
160,160,Mask Off,0.833,0.434,0.431,0.0102,150.062,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
161,161,Money Trees,0.716,0.531,0.122,0.0703,71.994,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
162,162,TEXAS HOLD 'EM,0.727,0.711,0.078,0.582,110.012,"['pop', 'r&b']"
163,163,Thinkin’ Bout Me,0.67,0.711,0.0563,0.536,163.998,[]
164,164,FE!N (feat. Playboi Carti),0.569,0.882,0.06,0.0316,148.038,"['rap', 'slap house']"
165,165,Illusion,0.654,0.799,0.124,0.0203,137.993,"['dance pop', 'pop', 'uk pop']"
166,166,Austin,0.756,0.672,0.0522,0.464,114.935,[]
167,167,End of Beginning,0.689,0.454,0.0584,0.0351,159.982,"['pov: indie', 'psychedelic pop']"
168,168,Cinderella,0.196,0.14,0.0353,0.892,58.637,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']"
169,169,Lovin On Me,0.943,0.558,0.0568,0.0026,104.983,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
170,170,redrum,0.677,0.628,0.0428,0.0134,76.43,"['atl hip hop', 'hip hop', 'rap']"
171,171,Nonstop,0.465,0.745,0.0524,0.000113,141.331,[]
172,172,Fast Car,0.711,0.292,0.037,0.313,103.951,"['folk', 'lilith', 'singer-songwriter', ""women's music""]"
173,173,Poetic Justice,0.779,0.572,0.378,0.157,135.956,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
174,174,Chasin' You,0.631,0.591,0.0277,0.657,97.074,['contemporary country']
175,175,Spin You Around (1/24),0.622,0.444,0.027,0.795,141.952,['contemporary country']
176,176,Wind Up Missin' You,0.756,0.782,0.287,0.304,89.956,[]
177,177,How Did It End?,0.492,0.379,0.0257,0.785,83.993,['pop']
178,178,TÚ NAME,0.76,0.747,0.0282,0.0675,128.912,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
179,179,晩餐歌,0.649,0.641,0.0251,0.433,102.983,[]
180,180,The Prophecy,0.421,0.525,0.0472,0.825,167.927,['pop']
181,181,Bank Account,0.884,0.347,0.35,0.015,75.016,"['atl hip hop', 'hip hop', 'rap']"
182,182,Sum 2 Prove,0.827,0.552,0.274,0.0169,124.011,"['atl hip hop', 'atl trap', 'rap', 'trap']"
183,183,Power Trip (feat. Miguel),0.667,0.608,0.216,0.324,99.992,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
184,184,SHEESH,0.85,0.645,0.0502,0.0784,114.967,[]
185,185,HIGHEST IN THE ROOM,0.598,0.427,0.0317,0.0546,76.469,"['rap', 'slap house']"
186,186,Where the Wild Things Are,0.708,0.731,0.0345,0.0189,116.975,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
187,187,The Albatross,0.352,0.479,0.0583,0.655,172.013,['pop']
188,188,I Hate It Here,0.485,0.562,0.0346,0.717,105.953,['pop']
189,189,God's Plan,0.758,0.452,0.11,0.0322,77.168,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
190,190,Houdini,0.744,0.789,0.059,0.0036,116.985,"['dance pop', 'pop', 'uk pop']"
191,191,thanK you aIMee,0.768,0.494,0.0442,0.0531,126.289,['slowed and reverb']
192,192,Whiskey Glasses,0.65,0.845,0.0499,0.014,123.038,['contemporary country']
193,193,WAIT FOR U (feat. Drake & Tems),0.505,0.536,0.156,0.0756,84.755,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
194,194,Low Down,0.962,0.619,0.405,0.0354,127.956,"['atl hip hop', 'atl trap', 'rap', 'trap']"
195,195,Passionfruit,0.809,0.463,0.0396,0.256,111.98,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
196,196,Stick Talk,0.729,0.672,0.282,0.0265,159.903,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
197,197,"Bitch, Don’t Kill My Vibe",0.587,0.698,0.0943,0.0152,133.954,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
198,198,LOVE. FEAT. ZACARI.,0.8,0.585,0.0924,0.264,126.058,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
199,199,Madonna,0.905,0.492,0.0595,0.0149,110.017,"['dance pop', 'pop']"
200,200,Entre las de 20,0.774,0.736,0.0452,0.0933,135.788,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
201,201,Si No Quieres No,0.786,0.786,0.0512,0.445,100.123,"['corrido', 'corridos tumbados', 'norteno', 'sad sierreno', 'sierreno']"
202,202,Vicio Duro,0.779,0.576,0.0381,0.311,119.981,[]
203,203,"Natanael Cano: Bzrp Music Sessions, Vol. 59",0.671,0.8,0.0695,0.0595,166.9,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
204,204,Y LLORO,0.728,0.589,0.0376,0.424,77.475,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
205,205,Brillarosa,0.771,0.782,0.0341,0.305,125.027,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
206,206,300 Noches,0.795,0.781,0.0812,0.296,124.133,"['corrido', 'corridos tumbados', 'norteno', 'sierreno']"
207,207,Sola Va A Caer,0.88,0.689,0.118,0.166,115.959,"['salsa', 'salsa puertorriquena']"
208,208,El Boss,0.777,0.535,0.0559,0.0661,132.272,"['corrido', 'sierreno']"
209,209,EXCESOS,0.742,0.873,0.0519,0.172,128.053,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
210,210,Elvira,0.76,0.711,0.0646,0.0812,128.134,"['corrido', 'corridos tumbados', 'sierreno']"
211,211,La Torre,0.182,0.114,0.0348,0.974,69.665,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
212,212,ADIVINO,0.786,0.854,0.0741,0.169,117.994,"['reggaeton', 'trap latino', 'urbano latino']"
213,213,Que Onda,0.808,0.944,0.0408,0.183,124.934,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
214,214,Santa,0.89,0.281,0.3,0.471,149.984,[]
215,215,LADY GAGA,0.502,0.761,0.0389,0.47,164.784,[]
216,216,MÏA,0.84,0.762,0.226,0.00736,99.987,"['dance pop', 'pop', 'urban contemporary']"
217,217,RUBICON,0.868,0.745,0.268,0.187,139.9,"['corridos tumbados', 'sad sierreno']"
218,218,BARBIEZ,0.62,0.738,0.0292,0.00879,127.982,[]
219,219,La Diabla,0.751,0.819,0.0409,0.255,131.842,['sad sierreno']
220,220,Don Dimadon,0.858,0.811,0.187,0.015,121.976,[]
221,221,LUNA,0.704,0.433,0.196,0.0708,113.943,['drift phonk']
222,222,LA PEOPLE II,0.823,0.785,0.0542,0.296,131.849,"['corridos tumbados', 'sad sierreno']"
223,223,Corazón de Piedra,0.834,0.763,0.0835,0.0354,134.844,['sad sierreno']
224,224,HARLEY QUINN,0.793,0.761,0.11,0.067,125.045,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
225,225,En Terapia,0.743,0.893,0.0589,0.136,94.044,[]
226,226,Mas Altas Que Bajadas,0.577,0.573,0.156,0.00561,181.072,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
227,227,SABOR FRESA,0.778,0.864,0.0907,0.0898,130.17,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
228,228,Un Desperdicio,0.764,0.668,0.101,0.143,148.055,"['r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']"
229,229,ATEO,0.772,0.807,0.519,0.00391,83.828,"['alternative hip hop', 'conscious hip hop', 'minnesota hip hop']"
230,230,"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",0.767,0.72,0.0659,0.0877,139.995,"['alternative r&b', 'art pop', 'escape room', 'persian electronic']"
231,231,Pacas De Billetes,0.718,0.726,0.0403,0.0889,142.986,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
232,232,LA PEOPLE,0.823,0.785,0.0542,0.296,131.849,[]
233,233,DEJA VU,0.723,0.618,0.0398,0.0148,127.989,"['atl hip hop', 'cloud rap', 'melodic rap', 'plugg']"
234,234,LOU LOU,0.739,0.579,0.0509,0.0622,130.002,"['corrido', 'sierreno']"
235,235,Moscow Mule,0.493,0.963,0.0638,2.25e-05,147.992,"['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']"
236,236,UNA CERVEZA,0.725,0.801,0.0372,0.0333,135.162,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
237,237,todo,0.848,0.895,0.241,0.0309,125.024,['mashup']
238,238,BELLAKEO,0.72,0.88,0.101,0.0562,180.011,"['corridos tumbados', 'sad sierreno']"
239,239,TQM,0.388,0.648,0.038,0.116,163.861,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
240,240,Diamantes,0.662,0.759,0.0353,0.389,92.438,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
241,241,Soy especial y ellos pa' pasar el rato,0.554,0.437,0.0853,0.705,138.382,[]
242,242,La Víctima,0.778,0.835,0.0767,0.152,140.082,['sad sierreno']
