,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,artista
228,228,Un Desperdicio,0.764,0.668,0.101,0.143,148.055,DJnando3
229,229,ATEO,0.772,0.807,0.519,0.00391,83.828,Atmosphere
230,230,"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",0.767,0.72,0.0659,0.0877,139.995,Sevdaliza
231,231,Pacas De Billetes,0.718,0.726,0.0403,0.0889,142.986,Natanael Cano
232,232,LA PEOPLE,0.823,0.785,0.0542,0.296,131.849,''El Obama'' Carlos Anderson
233,233,DEJA VU,0.723,0.618,0.0398,0.0148,127.989,Thouxanbanfauni
234,234,LOU LOU,0.739,0.579,0.0509,0.0622,130.002,Gabito Ballesteros
235,235,Moscow Mule,0.493,0.963,0.0638,2.25e-05,147.992,Autoheart
236,236,UNA CERVEZA,0.725,0.801,0.0372,0.0333,135.162,Fuerza Regida
237,237,todo,0.848,0.895,0.241,0.0309,125.024,DJs From Mars
238,238,BELLAKEO,0.72,0.88,0.101,0.0562,180.011,Peso Pluma
239,239,TQM,0.388,0.648,0.038,0.116,163.861,Tame Impala
240,240,Diamantes,0.662,0.759,0.0353,0.389,92.438,Natanael Cano
241,241,Soy especial y ellos pa' pasar el rato,0.554,0.437,0.0853,0.705,138.382,Josh
242,242,La Víctima,0.778,0.835,0.0767,0.152,140.082,Xavi
243,243,FARDOS,0.785,0.897,0.0332,0.14,121.982,JC Reyes
244,244,YW&F - Versión Reggaeton,0.7,0.608,0.0471,0.184,98.033,Oscar Maydon
245,245,SSS y no la de balvin,0.718,0.711,0.11,0.157,173.916,Sammer
246,246,ROCKSTAR,0.688,0.466,0.0641,0.29,76.005,<3BEAT
247,247,PRC,0.419,0.731,0.0745,0.0762,140.983,N.E.R.D
248,248,A Puro Dolor,0.743,0.634,0.0334,0.0632,129.888,Gabito Ballesteros
249,249,Bailando,0.807,0.644,0.0308,0.669,130.015,Lirow
250,250,Proyecto X,0.796,0.55,0.0746,0.137,127.982,Gabito Ballesteros
251,251,Tipo Gatsby,0.563,0.84,0.0309,0.021,125.613,Oscar Maydon
252,252,Igual Que Un Ángel (with Peso Pluma),0.693,0.0972,0.0367,0.806,84.989,LatinoFi
253,253,Bendecida,0.67,0.476,0.0333,0.0117,110.948,Harshal
254,254,El Azul,0.561,0.643,0.054,0.232,143.907,Junior H
255,255,Regalo De Dios,0.792,0.516,0.027,0.197,108.939,Julión Álvarez y su Norteño Banda
256,256,Ojitos Lindos,0.647,0.686,0.0413,0.08,79.928,Bad Bunny
257,257,FLASHES,0.839,0.83,0.0479,0.363,117.997,Milky Chance
258,258,Efecto,0.801,0.475,0.0516,0.141,98.047,Bad Bunny
259,259,Vete,0.462,0.421,0.0496,0.979,184.006,Los Bukis
260,260,GTA,0.817,0.505,0.319,0.123,76.991,Ginger Billy
261,261,A 200,0.573,0.716,0.27,0.409,131.781,Ricchie
262,262,Brillo,0.771,0.782,0.0341,0.305,125.027,Natanael Cano
263,263,QLONA,0.854,0.374,0.303,0.211,99.978,ILUMINADO DJ
264,264,O Me Voy O Te Vas,0.684,0.509,0.0397,0.076,99.24,Natanael Cano
265,265,FoNo,0.747,0.126,0.79,0.716,94.466,Foo Fighters
266,266,Mente Positiva,0.576,0.604,0.047,0.27,99.746,Junior H
267,267,$AD BOYZ II,0.548,0.591,0.0592,0.399,83.411,Junior H
268,268,Morritas,0.675,0.611,0.0261,0.593,95.074,Natanael Cano
269,269,LOCO CON CHOCARTE,0.708,0.54,0.251,0.0138,172.094,Mosby
270,270,Jálale alv,0.899,0.7,0.11,0.218,134.831,Bb trickz
271,271,Primera Cita,0.536,0.396,0.0687,0.604,157.846,Carin Leon
272,272,Ch y la Pizza,0.628,0.668,0.117,0.329,148.746,Fuerza Regida
273,273,Cherokee,0.424,0.0169,0.0438,0.993,132.176,Andy Luma
274,274,Como Jordan,0.714,0.873,0.0311,0.028,112.503,Junior H
275,275,DILUVIO,0.9,0.648,0.162,0.4,91.992,Jeeiph
276,276,Tití Me Preguntó,0.858,0.945,0.0387,0.288,127.989,Alar3
277,277,Oscuridad,0.731,0.658,0.0343,0.0769,109.982,Jasper
278,278,Fin de Semana,0.699,0.541,0.0826,0.0628,98.395,Oscar Maydon
279,279,PERRO NEGRO,0.873,0.53,0.203,0.526,94.978,Super ShanJo
280,280,Lalalalalá,0.948,0.579,0.0928,0.13,121.999,MIKOLAS
281,281,CRAZYZ,0.809,0.849,0.0738,0.251,126.0,Fuerza Regida
282,282,Apaga El Cel,0.842,0.445,0.0698,0.0349,99.988,Filtramusic
283,283,Me Porto Bonito,0.885,0.732,0.0687,0.0638,97.004,ILUMINADO DJ
284,284,PALETA,0.782,0.798,0.219,0.0815,175.917,Sam Baby
285,285,Selfies,0.782,0.722,0.0309,0.783,133.826,Natanael Cano
286,286,Igualito a Mi Apá,0.758,0.812,0.0854,0.188,144.908,Fuerza Regida
287,287,ROMPECABEZAS,0.742,0.887,0.0313,0.0264,119.989,YACO BEATS
288,288,EL AMOR DE SU VIDA,0.616,0.834,0.0664,0.06,151.701,Grupo Frontera
289,289,Mi Bello Angel,0.807,0.665,0.0497,0.0185,127.909,Natanael Cano
290,290,ELOVRGA,0.808,0.454,0.0434,0.124,130.025,Gerry Garcia
291,291,Guayani,0.566,0.765,0.293,0.144,82.621,Merse
292,292,Alucin,0.787,0.769,0.0335,0.00331,128.0,Eugenio Esquivel
293,293,Dile a El,0.818,0.697,0.0367,0.295,126.966,El Chaval de la Bachata
294,294,Yonaguni,0.653,0.139,0.0348,0.916,80.011,Sunday Without You
295,295,120,0.707,0.341,0.935,0.278,133.7,Matthias Ernst
296,296,Blame Brett,0.461,0.874,0.046,0.00364,156.023,The Beaches
297,297,Creeper,0.514,0.603,0.0249,0.0254,90.989,Creeper Lagoon
298,298,BABY SAID,0.622,0.715,0.0323,0.000982,131.012,Måneskin
299,299,FedEx,0.797,0.644,0.175,0.00881,138.041,Future
300,300,LosT,0.632,0.613,0.056,0.877,163.149,Miso
301,301,Marvin Lee,0.492,0.26,0.0921,0.646,111.519,Drake
302,302,Run it Up,0.867,0.591,0.128,0.172,148.007,YoungBoy Never Broke Again
303,303,State Of Mind,0.669,0.835,0.0352,0.0118,126.022,Duke & Jones
304,304,Embers,0.262,0.00716,0.0382,0.996,160.852,Wilson Trouvé
305,305,Forgotten One,0.52,0.983,0.0859,0.000971,95.962,mikeeysmind
306,306,Hanging by a Thread,0.541,0.864,0.0357,0.00118,124.557,Lifehouse
307,307,Lay Me Down,0.418,0.332,0.0492,0.771,119.164,Sam Smith
308,308,Straight Shooter,0.612,0.644,0.0288,0.754,119.809,The Mamas & The Papas
309,309,Revolution,0.408,0.831,0.208,0.0733,121.38,The Beatles
310,310,Soda Fountain,0.947,0.439,0.109,0.183,109.99,Langston Doobs
311,311,How It B,0.654,0.479,0.0416,0.0142,75.523,Yeat
312,312,John Hartleyborne (Must Die),0.556,0.476,0.0257,0.182,93.997,JJ Sterry
313,313,Who Will Save You Now,0.218,0.462,0.0557,0.39,119.976,Les Friction
314,314,Reprise,0.595,0.448,0.0267,0.925,120.117,salvia palth
315,315,Big Blue,0.509,0.458,0.0329,0.869,137.109,Hovvdy
316,316,This Love,0.712,0.862,0.0378,0.0525,95.051,Maroon 5
317,317,Guilty,0.566,0.969,0.046,0.0287,100.012,Linkin Park
318,318,A Little Bit Happy,0.589,0.685,0.0306,0.363,111.903,TALK
319,319,I Don't Know,0.673,0.207,0.0857,0.584,90.024,ETHAN S JASSO
320,320,Shame,0.714,0.665,0.0381,0.00588,133.805,"Evelyn ""Champagne"" King"
321,321,Resurrection,0.139,0.0484,0.0344,0.103,81.445,Hans Zimmer
322,322,Tough Lover,0.541,0.7,0.279,0.617,94.384,Christina Aguilera
323,323,Ocean On The Moon,0.156,0.0155,0.0457,0.985,136.852,Muse K
324,324,MY HAPPINESS,0.445,0.823,0.0302,0.00163,85.935,Enrose
325,325,Pray for You,0.732,0.678,0.0886,0.0867,100.626,The Weeknd
326,326,My Eyelash Girl,0.455,0.621,0.0517,0.651,119.043,Travis Scott
327,327,Stay Blessed,0.585,0.485,0.431,0.187,77.733,Bryson Tiller
328,328,Mountain Blue,0.463,0.462,0.0276,0.366,61.548,Trace Mountains
329,329,Not Strong Enough,0.502,0.798,0.0414,0.00291,126.976,boygenius
330,330,Looking From a Distance,0.417,0.0909,0.0373,0.959,90.075,Lana Del Rey
331,331,God Bless the Irony,0.299,0.422,0.0285,0.0873,67.797,Damedot
332,332,Irrational,0.754,0.59,0.046,0.192,147.107,Iration
333,333,I Am The Shadow,0.467,0.727,0.0724,0.0152,144.202,lxakies
334,334,Nothing To Prove,0.752,0.758,0.114,0.0973,90.493,Jeezy
335,335,Bang Bang,0.707,0.752,0.0885,0.269,150.061,Sohodolls
336,336,Doubt,0.699,0.419,0.0328,0.836,105.595,No Doubt
337,337,Almond Eyes,0.627,0.381,0.174,0.541,129.655,Novaa
338,338,Queen of Hearts,0.658,0.862,0.0535,0.211,169.532,Juice Newton
339,339,Lesson in Disappointment,0.612,0.804,0.0543,0.273,80.771,Jo Dee Messina
340,340,Is Metal,0.35,0.967,0.1,0.000153,153.656,Anvil
341,341,Wild,0.889,0.416,0.107,0.224,127.98,Wild Rivers
342,342,Boutique Suite in Funky Fitzroy,0.906,0.564,0.0568,0.000928,122.632,Lipps Inc.
343,343,Let Me In Your Band,0.483,0.795,0.181,0.00258,171.853,ENHYPEN
344,344,No Ones' Burden,0.313,0.894,0.0294,0.122,149.044,Band of Horses
345,345,Cocaine,0.776,0.582,0.0684,0.331,92.031,Paul Cauthen
346,346,27,0.681,0.376,0.957,0.616,98.77,Matthias Ernst
347,347,To My Heart,0.633,0.771,0.144,0.0749,81.317,YoungBoy Never Broke Again
348,348,No Different,0.867,0.646,0.288,0.303,88.634,Blackstreet
349,349,In My Head,0.499,0.181,0.0429,0.745,111.956,ĆEE
350,350,Pretty Happy Alone,0.787,0.511,0.0896,0.115,90.538,Able Heart
351,351,Sever Your Faith,0.636,0.765,0.0512,0.00568,164.96,STXRZ
352,352,I'm Your Waste of Time,0.834,0.535,0.172,0.603,132.984,Daddy Drwg
353,353,SAY THE WORD,0.604,0.817,0.031,0.121,126.966,Nick Smith
354,354,FAM,0.841,0.672,0.371,0.0122,157.026,Only The Family
355,355,You're Coming Over,0.575,0.845,0.035,0.0282,127.997,Chris Young
356,356,Don't Look!,0.575,0.831,0.0356,0.00406,127.991,POORSTACY
357,357,World Got So Dumb,0.667,0.815,0.0719,0.000779,92.562,Beldon Haigh
358,358,Nikita,0.632,0.656,0.0277,0.123,86.605,Nikitata
359,359,Love From The Other Side,0.81,0.481,0.0342,0.492,114.995,L'Impératrice
360,360,Christian Speak (Radio Mix),0.31,0.0102,0.0406,0.995,92.244,Christian Spelz
361,361,You Can Let Go,0.391,0.408,0.0317,0.594,69.399,Crystal Shawanda
362,362,Breathe Out,0.636,0.7,0.421,0.341,88.817,New Life Worship
363,363,Changeling,0.0905,0.000328,0.049,0.878,88.651,De Janos
364,364,ONE MORE TIME,0.736,0.687,0.0272,0.0266,118.024,bonaira
365,365,Machine,0.522,0.711,0.0283,0.0895,168.355,Unwritten Law
366,366,The Charming Snake,0.431,0.921,0.0491,0.000254,98.801,The Smiths
367,367,JJ,0.612,0.317,0.0346,0.876,101.678,CoComelon
368,368,Waiting Around,0.551,0.233,0.0312,0.71,89.574,Townes Van Zandt
369,369,OBSOLETE,0.407,0.95,0.193,0.000103,191.741,Of Mice & Men
370,370,Loves Hold,0.598,0.58,0.0409,0.575,74.855,"Earth, Wind & Fire"
371,371,BMFR,0.614,0.351,0.0564,0.0514,140.989,BFDI Music
372,372,A Place 4 Me,0.603,0.908,0.184,0.0144,133.063,Linkin Park
373,373,Proof,0.396,0.671,0.0351,0.0984,156.072,for KING & COUNTRY
374,374,The Ones Who Bleed,0.533,0.784,0.0349,0.0967,137.999,Justin Moore
375,375,Fair Shake,0.852,0.846,0.0941,0.00414,110.026,Hanover
376,376,Watching You Again,0.625,0.848,0.0314,0.105,137.993,Rodney Atkins
377,377,Soul in Captivity,0.653,0.662,0.026,0.382,104.026,Anita Baker
378,378,God Is a Circle,0.602,0.658,0.0558,0.0233,145.031,Ariana Grande
379,379,Freedom,0.591,0.651,0.0424,0.42,132.538,Wham!
380,380,Yung Cheyney,0.507,0.685,0.314,0.0938,138.116,yvngxchris
381,381,Chris Francis,0.845,0.398,0.0769,0.0553,91.98,Chris Francisco
382,382,Forward Fashion,0.642,0.851,0.0412,0.000744,124.992,Beyoncé
383,383,Underground,0.838,0.393,0.041,0.237,95.003,Underground
384,384,The Real Thing,0.615,0.322,0.0282,0.77,113.064,Pink Sweat$
385,385,Overcome,0.443,0.856,0.0418,0.000269,159.923,Elevation Worship
386,386,The Balance,0.5,0.0928,0.0276,0.758,103.113,Lord Huron
387,387,Drones,0.304,0.019,0.312,0.994,66.405,Delta Hz
388,388,Elisa,0.319,0.0662,0.0353,0.986,70.86,Klaüs
389,389,Rescued,0.431,0.183,0.0469,0.898,204.077,The Rescues
390,390,Nothing Matters,0.576,0.796,0.0375,0.0219,101.093,The Last Dinner Party
391,391,She Is Mighty,0.782,0.317,0.0357,0.567,89.925,Molly Green
392,392,Unhappier,0.553,0.522,0.0573,0.0492,81.599,Lil Durk
393,393,"Sex, Secrets, Promises",0.572,0.839,0.0377,0.013,143.969,Beach Weather
394,394,Lost,0.632,0.613,0.056,0.877,163.149,Miso
395,395,Just Hold On,0.777,0.414,0.0946,0.00421,100.002,Drake
396,396,Someone You Loved,0.456,0.144,0.0358,0.982,104.993,The Piano Guys
397,397,Sunflower - Spider-Man: Into the Spider-Verse,0.7,0.554,0.0747,0.372,179.981,The Cinematic Film Band
398,398,Starboy,0.609,0.0445,0.0467,0.993,132.0,Chilled Pig
399,399,Dance Monkey,0.824,0.587,0.0937,0.69,98.029,Tones And I
400,400,One Dance,0.788,0.605,0.0578,0.00899,103.94,neko
401,401,Wine 4 Me,0.721,0.411,0.0456,0.0595,100.02,YNW Melly
402,402,Party,0.556,0.654,0.0459,6.35e-05,152.034,TrackTribe
403,403,I'm Gonna Be Your Slave,0.685,0.717,0.0614,0.0011,139.961,Deep Line
404,404,STAY (with Justin Bieber),0.585,0.794,0.0521,0.0356,169.965,The Kid LAROI
405,405,Kryptonite,0.545,0.865,0.0286,0.00664,99.005,3 Doors Down
406,406,Paper Plane,0.447,0.848,0.222,0.033,172.253,M.I.A.
407,407,rockstar,0.688,0.466,0.0641,0.29,76.005,<3BEAT
408,408,Man,0.84,0.762,0.226,0.00736,99.987,Jennifer Lopez
409,409,Jimmy Choo,0.893,0.646,0.1,0.112,132.97,Fetty Wap
410,410,This Heart Of Mine,0.406,0.843,0.0526,0.0889,150.054,Corey Kent
411,411,Heat Waves,0.761,0.525,0.0944,0.44,80.87,Glass Animals
412,412,All Along - Radio Edit,0.429,0.812,0.0657,0.00282,113.279,Jimi Hendrix
413,413,Who'll Stop the People - District 12 Mix,0.627,0.873,0.0311,0.00804,123.113,Creedence Clearwater Revival
414,414,Perfect,0.878,0.553,0.302,0.184,98.019,TrackMoney P
415,415,Jiffy,0.833,0.641,0.107,0.355,139.982,WeezGotti
416,416,Closer,0.738,0.541,0.0303,0.415,94.949,Hillside Recording
417,417,Where The Cavemen Sleep,0.756,0.796,0.039,0.363,92.009,Zac Brown Band
418,418,Señorita,0.783,0.671,0.0312,0.0372,117.038,Kidz Bop Kids
419,419,Say You Won't Let Go,0.358,0.557,0.059,0.695,85.043,James Arthur
420,420,Run It,0.774,0.348,0.429,0.49,166.109,Rundown Spaz
421,421,lovely (with Khalid),0.246,0.311,0.0368,0.94,115.268,Denial
422,422,Watermelon Sugar,0.749,0.884,0.289,0.0628,149.845,Tracy Byrd
423,423,Don't Start Now,0.793,0.793,0.083,0.0123,123.95,Dua Lipa
424,424,Lucid Dreams,0.124,0.0854,0.0368,0.946,177.591,Frozen Drones
425,425,Ghost,0.695,0.677,0.158,0.00468,95.625,Ghostface Killah
426,426,bad guy,0.65,0.477,0.0601,0.00288,152.409,TrackVibes
427,427,Thinking out Loud,0.38,0.145,0.0326,0.988,135.548,The Piano Guys
428,428,if u think i'm pretty,0.535,0.622,0.0593,0.541,143.533,Artemas
429,429,Photograph,0.228,0.103,0.0489,0.99,114.404,Nickelback
430,430,Something Just Like This,0.617,0.635,0.0317,0.0498,103.019,The Chainsmokers
431,431,Take Me To Church,0.566,0.664,0.0464,0.634,128.945,Hozier
432,432,Circles,0.6,0.887,0.063,0.0232,128.088,Audien
433,433,Shallow,0.599,0.0378,0.0433,0.994,74.024,Figgy Malone
434,434,Love Yourself,0.864,0.714,0.278,0.289,137.923,XXXTENTACION
435,435,Riptide,0.667,0.258,0.0348,0.978,78.006,Lofi Fruits Music
436,436,All of Me,0.606,0.72,0.0283,0.000149,127.985,John Legend
437,437,Thunder,0.622,0.639,0.143,0.623,149.997,Ty Dolla $ign
438,438,goosebumps,0.879,0.715,0.193,0.039,75.019,MAKAVELIGODD
439,439,Broken Bones,0.779,0.486,0.193,0.802,123.993,KALEO
440,440,Stressed Out,0.734,0.637,0.141,0.0462,169.977,Twenty One Pilots
441,441,Electronic Music - Radio Edit,0.629,0.88,0.0529,0.132,174.523,MooreMusic4U
442,442,7 rings,0.777,0.317,0.308,0.591,139.848,Ariana Grande
443,443,Unavailable,0.788,0.649,0.0532,0.253,113.009,Davido
444,444,Another Love,0.63,0.207,0.0334,0.736,123.968,Another Lover
445,445,Wake Me Up - Radio Edit,0.459,0.0194,0.0422,0.991,68.06,Figgy Malone
446,446,Alassa,0.372,0.0108,0.0445,0.995,122.209,Alaskan Tapes
447,447,SAD!,0.709,0.569,0.261,0.42,92.066,ACROS
448,448,What a Night,0.737,0.495,0.027,0.0588,104.409,Frankie Valli & The Four Seasons
449,449,The Hills,0.585,0.564,0.0515,0.0671,113.003,The Weeknd
450,450,Let Her Go,0.479,0.545,0.0688,0.365,74.897,Passenger
451,451,Sun Shine In,0.833,0.585,0.0518,0.0755,112.986,YOOKiE
452,452,Jocelyn Flores,0.662,0.136,0.0309,0.833,66.033,XXXTENTACION
453,453,Coaluī,0.366,0.0716,0.0416,0.982,105.854,Les Rêveries
454,454,ICI,0.352,0.691,0.0428,0.0294,145.006,Purple Citron
455,455,Found Grace,0.535,0.895,0.0497,0.00442,105.044,Conan Gray
456,456,Nobody,0.662,0.696,0.333,0.00779,144.823,Reace Sosa
457,457,Stand on Business,0.621,0.682,0.419,0.0692,84.811,Lil Rae
458,458,Demons,0.745,0.681,0.108,0.00132,148.083,shebeel
459,459,Desafinada,0.507,0.309,0.0383,0.784,82.052,João Gilberto
460,460,Pobre,0.839,0.361,0.0748,0.646,118.014,Los Armadillos de la Sierra
461,461,Bad Bitches,0.78,0.572,0.395,0.07,172.864,BigXthaPlug
462,462,Polar E Flow,0.67,0.879,0.108,0.353,145.2,Tom Hanks
